id,trade_biweek,biweek_start_value,biweek_last_value,earning1,earning2,earning,rtn_std,win_days,lose_days,win_rate,biggest_loss_day,biggest_loss,deltadays_with_hs300
61,201420,3.3453,3.3224,-0.00684542492452,,-0.00684542492452,0.00243699955596,3,4,0.428571428571,2014-10-17,-0.00909660294074,0 days 00:00:00.000000000
61,201421,3.3361,3.3593,0.00695422799077,0.0111064290874,0.0111064290874,0.00454448633858,7,3,0.7,2014-10-23,-0.0145978837565,-4 days +00:00:00.000000000
61,201422,3.3525,3.3254,-0.00808351976137,-0.0100913880868,-0.0100913880868,0.00309725940341,4,6,0.4,2014-11-13,-0.00811334824758,0 days 00:00:00.000000000
61,201423,3.332,3.4326,0.0301920768307,0.0322367234017,0.0322367234017,0.00340429398842,8,2,0.8,2014-11-18,-0.00378151260504,-2 days +00:00:00.000000000
61,201424,3.4196,3.472,0.0153234296409,0.0114781798054,0.0114781798054,0.0119784341479,6,4,0.6,2014-12-09,-0.0273921947889,0 days 00:00:00.000000000
61,201425,3.4808,3.5204,0.0113766950126,0.0139400921659,0.0139400921659,0.00645528868195,6,4,0.6,2014-12-24,-0.018990220605,0 days 00:00:00.000000000
61,201426,3.5329,3.5683,0.0100200968043,0.0136064083627,0.0136064083627,0.00471598964706,3,0,1.0,2014-12-29,0.0,0 days 00:00:00.000000000
61,201500,3.5993,3.5715,-0.00772372405746,0.000896785584172,0.000896785584172,0.00532551761247,2,3,0.4,2015-01-08,-0.00855721945934,-1 days +00:00:00.000000000
61,201501,3.563,3.6415,0.0220319955094,0.0195996080078,0.0195996080078,0.0122485054437,6,4,0.6,2015-01-19,-0.0271023652472,0 days 00:00:00.000000000
61,201502,3.6522,3.5314,-0.0330759542194,-0.0302347933544,-0.0302347933544,0.00503213475858,2,8,0.2,2015-02-06,-0.0330759542194,0 days 00:00:00.000000000
61,201503,3.5323,3.6326,0.0283950966792,0.0286571897831,0.0286571897831,0.00241671998466,7,0,1.0,2015-02-09,0.0,0 days 00:00:00.000000000
61,201504,3.6267,3.6562,0.00813411641437,0.00649672410945,0.00649672410945,0.00661429968387,4,4,0.5,2015-03-06,-0.0116508528641,0 days 00:00:00.000000000
61,201505,3.6807,3.8915,0.0572717146195,0.0643564356436,0.0643564356436,0.00599031097158,9,1,0.9,2015-03-12,-0.00400216333153,2 days 00:00:00.000000000
61,201506,3.9519,4.0223,0.0178142159468,0.0336117178466,0.0336117178466,0.00954510452202,4,1,0.8,2015-03-26,-0.00942156546748,-5 days +00:00:00.000000000
62,201420,2.903,2.8402,-0.0216327936617,,-0.0216327936617,0.00533571794457,2,5,0.285714285714,2014-10-17,-0.0246230983207,0 days 00:00:00.000000000
62,201421,2.8703,2.9286,0.0203114657004,0.0311245686923,0.0311245686923,0.00581049982181,6,4,0.6,2014-10-23,-0.00749050621886,-4 days +00:00:00.000000000
62,201422,2.9326,2.8851,-0.016197231126,-0.0148535136243,-0.0148535136243,0.00835923532263,4,6,0.4,2014-11-14,-0.0200400801603,1 days 00:00:00.000000000
62,201423,2.8965,3.0689,0.0595201104782,0.0637066306194,0.0637066306194,0.00542378277054,8,2,0.8,2014-11-18,-0.00179527015363,-2 days +00:00:00.000000000
62,201424,3.0648,3.1805,0.0377512398851,0.0363648212715,0.0363648212715,0.0104287741986,8,2,0.8,2014-12-09,-0.0228096487939,0 days 00:00:00.000000000
