id,hf,earning,volatility,loss,sharp,enterprise_earning,period,implied_volatility,win_days,lose_days,win_ratio,implied_volatility_rank,implied_volatility_adj,sharp_rank,sharp_adj
15129,-0.328264883648,0.882214830757,0.0472728014055,-0.177918304563,-0.190137498137,0.0902130315829,343 days 00:00:00.000000000,0.462037942024,28.0,17.0,0.622222222222,0.733094812165,0.0,0.50216211243,0.0
15145,-0.0808725592569,0.213137254902,0.0441004932801,-0.202199789061,0.711877269214,0.0902130315829,351 days 00:00:00.000000000,0.0751229470692,29.0,10.0,0.74358974359,0.498747763864,0.0,0.847364062931,0.0
15150,-0.379358214362,1.65930478202,0.0575256535728,-0.18345323741,-0.847929565463,0.0902130315829,350 days 00:00:00.000000000,0.737226462657,30.0,17.0,0.63829787234,0.85572450805,0.0,0.254117214095,0.0
15152,-0.1118128459,0.0293479286591,0.0202869539738,-0.116251803752,1.13182395481,0.0902130315829,270 days 00:00:00.000000000,-0.105027609486,22.0,18.0,0.55,0.37915921288,0.0,0.914343545864,-0.1
15153,-0.0741110888295,0.472547488941,0.0187750091934,-0.0373306428366,-0.907347035618,0.0902130315829,259 days 00:00:00.000000000,0.74303827995,28.0,12.0,0.7,0.859302325581,0.0,0.238292391204,0.0
15164,-0.294958286743,-0.0276157137301,0.0486107950261,-0.187322226737,0.842332834622,0.0902130315829,357 days 00:00:00.000000000,-0.064232785699,18.0,6.0,0.75,0.400357781753,0.0,0.872757383384,0.0
15171,-0.508738322045,-0.253452780888,0.0876936953473,-0.374570016887,1.05280575972,0.0902130315829,350 days 00:00:00.000000000,-0.105921006284,26.0,18.0,0.590909090909,0.378890876565,0.0,0.904959057871,-0.1
15172,-0.246246780379,-0.159663865546,0.0872403696029,-0.459430239472,1.20668245574,0.0902130315829,350 days 00:00:00.000000000,-0.0774145771271,30.0,15.0,0.666666666667,0.393023255814,0.0,0.92161192382,-0.1
15177,-0.0947651264916,0.593888037501,0.0214395574426,-0.066226564563,-0.80873228059,0.0902130315829,350 days 00:00:00.000000000,0.634963442847,34.0,14.0,0.708333333333,0.814490161002,0.0,0.263133682952,0.0
15179,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15180,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15181,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15182,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15183,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15184,-0.246406720295,0.392528524107,0.0317912196101,-0.100142806141,0.0133334781788,0.0902130315829,308 days 00:00:00.000000000,0.291955048753,27.0,15.0,0.642857142857,0.639982110912,0.0,0.616156040114,0.0
15196,-0.539175660739,0.324146724206,0.0549795042732,-0.199128944738,0.452823929246,0.0902130315829,259 days 00:00:00.000000000,0.155252950781,19.0,19.0,0.5,0.548837209302,0.0,0.781396632625,0.0
15220,-0.529994324783,0.18526139308,0.0439386077029,-0.00316909379009,-0.207016780602,0.0902130315829,42 days 00:00:00.000000000,0.47725572044,4.0,2.0,0.666666666667,0.739266547406,0.0,0.492777624436,0.0
15225,-0.42696119559,0.619513613022,0.0461951612137,-0.227810984549,0.33283871653,0.0902130315829,323 days 00:00:00.000000000,0.335491969012,34.0,28.0,0.548387096774,0.662701252236,0.0,0.742478608888,0.0
15239,-0.292278328555,0.592017738359,0.0313020826675,-0.111414279218,-0.246433508688,0.0902130315829,343 days 00:00:00.000000000,0.442103861931,27.0,19.0,0.586956521739,0.722719141324,0.0,0.474836691508,0.0
15254,-0.192366221634,0.335154998587,0.0142130535029,-0.18843069874,1.55212670225,0.0902130315829,362 days 00:00:00.000000000,0.450391763637,138.0,88.0,0.610619469027,0.727370304114,0.0,0.949489373447,-0.1
15256,-0.212226717915,0.0339730290456,0.0178515314591,-0.0256742738589,0.202900033496,0.0902130315829,42 days 00:00:00.000000000,-0.695060568365,4.0,2.0,0.666666666667,0.258497316637,0.0,0.69077192014,0.0
15257,-0.635136991913,0.281627092254,0.0456838718336,-0.0947001162984,0.112107101141,0.0902130315829,144 days 00:00:00.000000000,0.274134808876,9.0,12.0,0.428571428571,0.628175313059,0.0,0.657742202595,0.0
15268,0.107941134214,0.0132916340891,0.00213787699147,-0.0945736434109,8.99833999066,0.0902130315829,362 days 00:00:00.000000000,-0.940327380753,166.0,71.0,0.700421940928,0.23801431127,0.0,0.998711933021,-0.25
15274,-0.00651974633064,0.0759652610652,0.0102659616471,-0.0682637063005,1.01184209064,0.0902130315829,350 days 00:00:00.000000000,-0.0375112392738,34.0,13.0,0.723404255319,0.417531305903,0.0,0.900634833011,-0.1
