type,typeName,name,spell,spellAll,code
PFund,私募,龙票1期,LP1Q,longpiaoziguan,P00040
PFund,私募,民森A号,MSAH,minsen,P00043
PFund,私募,民森B号,MSBH,minsen,P00044
PFund,私募,励石1号,LS1H,lishi,P00046
PFund,私募,塔晶狮王2,TJSW2,tajing,P00048
PFund,私募,从容优势1,CRYS1,congrong,P00051
PFund,私募,从容优势2,CRYS2,congrong,P00052
PFund,私募,东方港湾马拉松,DFGWMLS,dongfanggangwan,P00053
PFund,私募,泽祥自营,ZXZY,zexiang,P07260
PFund,私募,载德01号-第01期,ZD01HD01Q,--,P05700
PFund,私募,华西财富通01号-第11期,HXCFT01HD11Q,--,P05701
PFund,私募,华融分级固利37号A,HRFJGL37HA,huarongzhengquan,J01016
PFund,私募,首创融胜2号A1,SCRS2HA1,shouchuangzhengquan,J00905
PFund,私募,东兴金选稳赢3号稳健型,DXJXWY3HWJX,dongxingzhengquan,J00953
PFund,私募,君享稳融三号次级,JXWRSHCJ,guotaijunanzhengquan,J00927
PFund,私募,东方财富对冲基金一期,DFCFDCJJYQ,xindongfangtouzilicai,P01858
PFund,私募,东方财富稳健成长,DFCFWJCZ,xindongfangtouzilicai,P01859
PFund,私募,非却投资交易一部,FQTZJYYB,feique,P01860
PFund,私募,丰怡投资MOST一号,FYTZMOSTYH,fengyi,P01861
PFund,私募,恒鹰01号第05期,HY01HD05Q,--,P05096
PFund,私募,大黄蜂投资1号,DHFTZ1H,dahuangfengtouzi,M00157
PFund,私募,国泰青骓衍生品高频二期,GTQZYSPGPEQ,qingzhui,P02693
PFund,私募,青骓高频量化1号,QZGPLH1H,qingzhui,M00173
PFund,私募,青骓量化可转债对冲,QZLHKZZDC,qingzhui,M00174
PFund,私募,国泰君安青骓高频2期,GTJAQZGP2Q,qingzhui,M00175
PFund,私募,重阳固定收益1号基金,CYGDSY1HJJ,chongyang,S20262
PFund,私募,上善御富量化阿尔法,SHYFLHAEF,shangshanyufu,S20410
PFund,私募,鼎锋海川一期证券投资基金,DFHCYQZQTZJJ,dingfenghaichuan,S20191
PFund,私募,友山瀚海3号固定收益基金,YSHH3HGDSYJJ,guizhouyoushan,S20289
PFund,私募,云信成长2013-5号第9期,YXCZ20135HD9Q,--,P07104
PFund,私募,泽泉涨乐1号,ZQZL1H,zequan,P05695
PFund,私募,锐进12期鼎萨,RJ12QDS,dingsa,P07240
PFund,私募,安进13期壹心1号,AJ13QYX1H,lingjuntouzi,P07241
PFund,私募,泓信安盈一期,HXAYYQ,hongxin,M00170
PFund,私募,黄金优选5期17号,HJYX5Q17H,shangya,P00742
PFund,私募,银河锐进第02期,YHRJD02Q,--,P07392
PFund,私募,增强62号-第08期,ZQ62HD08Q,--,P07393
PFund,私募,赢在稳固1号第2期,YZWG1HD2Q,--,P07395
PFund,私募,财通财聚5号A,CTCJ5HA,caitongzhengquan,J00870
PFund,私募,展博专注A期,ZBZZAQ,zhanbo,P01098
PFund,私募,中航信欣3号,ZHXX3H,zhonghangzhengquan,J00814
PFund,私募,明达1,MD1,mingda,P00001
PFund,私募,明达2,MD2,mingda,P00002
PFund,私募,睿信1期,RX1Q,ruixintouzi,P00004
PFund,私募,睿信2期,RX2Q,ruixintouzi,P00005
PFund,私募,睿信4,RX4,ruixintouzi,P00007
PFund,私募,尚诚,SC,shangcheng,P00008
PFund,私募,林园2,LY2,linyuan,P00010
PFund,私募,林园3,LY3,linyuan,P00011
PFund,私募,朱雀1期华润,ZQ1QHR,zhuque,P00016
PFund,私募,尚雅2期,SY2Q,shangya,P00018
PFund,私募,尚雅4期,SY4Q,shangya,P00020
PFund,私募,先锋1号,XF1H,junfeng,P00022
PFund,私募,鑫鹏1期,XP1Q,xinpeng,P00023
PFund,私募,时策1期,SC1Q,shice,P00026
PFund,私募,景良能量1期,JLNL1Q,jingliang,P00028
PFund,私募,美联融通,MLRT,meilianrongtong,P00033
PFund,私募,民森C号,MSCH,minsen,P00151
PFund,私募,京福1号,JF1H,jingfu1,P00152
PFund,私募,明达3期,MD3Q,mingda,P00003
PFund,私募,红山1期,HS1Q,hongshan,P00014
PFund,私募,尚雅3期,SY3Q,shangya,P00019
PFund,私募,银信宝,YXB,yinxinbao,P00025
PFund,私募,君丰1期,JF1Q,junfengziben,P00038
PFund,私募,博颐精选,BYJX,boyizichan,P00041
PFund,私募,塔晶狮王,TJSW,tajing,P00047
PFund,私募,金牛一期,JNYQ,fujianjinniu,P00057
PFund,私募,合德丰泰,HDFT,hedefengtai,P00060
PFund,私募,融信01号第10期,RX01HD10Q,--,P05685
PFund,私募,广金成长4期,GJCC4Q,guangjin,P05694
PFund,私募,龙平01号-第18期,LP01HD18Q,--,P05697
PFund,私募,瑞滙2A类第68期,RH2ALD68Q,--,P07396
PFund,私募,瑞滙2A类第69期,RH2ALD69Q,--,P07397
PFund,私募,瑞滙2A类第70期,RH2ALD70Q,--,P07398
PFund,私募,瑞滙2A类第72期,RH2ALD72Q,--,P07400
PFund,私募,弘利一号,HLYH,honglishangyeguanli,P05454
PFund,私募,滨海香邑山1号,BHXYS1H,binhaitiandi,S20754
PFund,私募,沣裕1号,DFTZFY1H,defeng,P07247
PFund,私募,淡水泉2008,DSQ2008,danshuiquan,P00108
PFund,私募,上善若水4期,SSRS4Q,shangshanruoshui,P01180
PFund,私募,华润信托星石2期,XS2Q,xingshitouzi,P00116
PFund,私募,证大一期,ZD1Q,zhengda,P00120
PFund,私募,从容优势3期,CRYS3Q,congrong,P00125
PFund,私募,长金2号,CJ2H,changjin,P00172
PFund,私募,清水源1号,QSY1H,qingshuiyuan,P01095
PFund,私募,星石8期,XS8Q,xingshitouzi,P00173
PFund,私募,星石9期,XS9Q,xingshitouzi,P00174
PFund,私募,星石10期,XS10Q,xingshitouzi,P00175
PFund,私募,星石11期,XS11Q,xingshitouzi,P00176
PFund,私募,星石12期,XS12Q,xingshitouzi,P00177
PFund,私募,从容成长1,CRCZ1,congrong,P00179
PFund,私募,从容稳健2期,CRWJ2Q,congrong,P00180
PFund,私募,从容稳健3期,CRWJ3Q,congrong,P00181
PFund,私募,朱雀1期陕国投,ZQ1QSGT,zhuque,P00182
CPFund,私募,中国龙动力,ZGLDL,bofang,H00004
PFund,私募,星石6期,XS6Q,xingshitouzi,P00131
PFund,私募,武当3,WD3,wudangzichan,P00130
PFund,私募,融福02号第06期,RF02HD06Q,--,P05242
PFund,私募,元葵天时策略,YKTSCL,yuankuizichan,P02671
PFund,私募,久阳三号,JYSH,jiuyangrunquanziben,P05288
PFund,私募,昊恩投资,EHTZ,nanjinghaoen,P05257
PFund,私募,千象趋势1号,QXQS1H,qianxiangzichan,P02689
PFund,私募,浔宝一期,XBYQ,xunbao,M00189
PFund,私募,大通三石2号A1,DTSS2HA1,datongzhengquan,J00829
PFund,私募,大通三石2号A5,DTSS2HA5,datongzhengquan,J00833
PFund,私募,东北固定收益融通宝2号,DBGDSYRTB2H,dongbeizhengquan,J00768
PFund,私募,华泰紫金易融宝1号,HTZJYRB1H,huataizhengquan,J00881
PFund,私募,中金对冲1号,ZJDC1H,zhongjin,J00882
PFund,私募,华融分级固利31号,HRFJGL31H,huarongzhengquan,J00856
PFund,私募,华融分级固利31号A,HRFJGL31HA,huarongzhengquan,J00857
PFund,私募,华融分级固利32号B,HRFJGL32HB,huarongzhengquan,J00864
PFund,私募,创赢6号,CY6H,chuangying,P01158
PFund,私募,智博方略2号,ZBFL2H,zhibofanglve,P00836
PFund,私募,融新364号,RX364H,--,P04926
PFund,私募,光大保德信大中华3号,GDBDXDZH3H,guangdabaodexin,361017
PFund,私募,华夏未来领时对冲1号尊享B,HXWLLSDC1HZXB,huaxiaweilaiziben,P02663
CPFund,私募,正投一号,ZTYH,zhengtouguoji,H00039
PFund,私募,固利宏观对冲1号,GLHGDC1H,gulizichan,P02664
PFund,私募,汇信-景恒先锋,HXJHXF,guangdongjinghengziben,P02665
PFund,私募,浦江之星171号,PHZX171H,--,P05054
PFund,私募,广发OTC万联大业1号,GFOTCWLDY1H,guangfazhengquan,J00865
PFund,私募,财通财聚5号,CTCJ5H,caitongzhengquan,J00869
PFund,私募,华润朱雀2期,HRZQ2Q,zhuque,P00132
