type,typeName,name,spell,spellAll,code
PFund,私募,德源安战略成长1号,DYAZLCZ1H,deyuanan,P00240
PFund,私募,宽信1号,KX1H,kuanxinzichan,M00147
PFund,私募,展博1期,ZB1Q,zhanbo,P00241
PFund,私募,恒鹰01号第08期,HY01HD08Q,--,P05230
PFund,私募,毕立信稳健第07期,BLXWJD07Q,--,P05231
PFund,私募,景泰复利回报一期,JTFLHBYQ,jingtailifeng,P00242
PFund,私募,景泰复利回报二期,JTFLHBEQ,jingtailifeng,P00243
PFund,私募,君道远见,JDYJ,jundaoziben,P01174
PFund,私募,信银21号,XY21H,huanqiuyinzheng,P01697
PFund,私募,艾亿新融11号,AYXR11H,aiyixinrong,P01223
PFund,私募,金中和6期,JZH6Q,jinzhonghe,P00246
PFund,私募,长金4号,CJ4H,changjin,P00247
PFund,私募,武当13期,WD13Q,wudangzichan,P00248
PFund,私募,黄金优选1期1号,HJYX1Q1H,danshuiquan,P00407
PFund,私募,黄金优选1期3号,HJYX1Q3H,danshuiquan,P00408
PFund,私募,喜马拉雅1期,XMLA1Q,ximalayazichan,P00273
PFund,私募,星石19期,XS19Q,xingshitouzi,P00275
PFund,私募,投资精英之从容,TZJYZCR,congrong,P00279
PFund,私募,投资精英之朱雀(A类),TZJYZZQAL,zhuque,P00280
PFund,私募,投资精英之星石(A类),TZJYZXSAL,xingshitouzi,P00282
PFund,私募,投资精英之汇利,TZJYZHL,huili,P00281
PFund,私募,智诚3期,ZC3Q,zhichenghaiwei,P00284
PFund,私募,重阳3期,CY3Q,chongyang,P00285
PFund,私募,淡水泉成长九期,DSQCZJQ,danshuiquan,P00286
PFund,私募,久铭一期,JMYQ,jiuming,P00290
PFund,私募,隐形冠军一期,YXGJYQ,jingfurongyuan,P00291
PFund,私募,博颐稳健1期,BYWJ1Q,boyizichan,P00292
PFund,私募,朴石5期,PS5Q,poshi,P01171
PFund,私募,麦尔斯通二期,MESTEQ,maiersitong,P00294
PFund,私募,新价值10期,XJZ10Q,xinjiazhi,P00389
PFund,私募,建源财富,JYCF,jianyuantianhua,P00393
PFund,私募,丰煜一期,FYYQ,fengyu,P00394
PFund,私募,国淼一期,GMYQ,beijingguomiao,P00396
PFund,私募,新价值12号,XJZ12H,xinjiazhi,P00455
PFund,私募,龙赢成长1号,LYCZ1H,longyingfuze,P00456
PFund,私募,兆信1期,ZX1Q,zhaoxin,P00458
PFund,私募,汇利5期,HL5Q,huili,P00459
PFund,私募,黄金优选1期4号,HJYX1Q4H,danshuiquan,P00409
PFund,私募,黄金优选二期二号,HJYXEQEH,xinjiazhi,P00410
PFund,私募,黄金优选二期三号,HJYXEQSH,xinjiazhi,P00411
PFund,私募,黄金优选二期四号,HJYXEQSH,xinjiazhi,P00412
PFund,私募,鸿道1期,HD1Q,hongdao,P00414
PFund,私募,中钢投资稳健套利2号,ZGTZWJTL2H,zhonggang,P03609
