advisor_id,company_name,fund_id,fund_short_name,id,inception_date,initial_unit_value,manager_id,manager_name,manager_name_real,nav,price_date,ret_1m,ret_1y,ret_2y,ret_3m,ret_3y,ret_4y,ret_5y,ret_6m,ret_incep,ret_incep_a,ret_ytd
CO000009QC,紫熙投资,HF00000VIF,紫熙敏进一号,12,2014-05-14,1.0,PL000006YD,严忠,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006YD"">严忠</a>",15.820101,2015-08-17,0.103166,10.432361,,0.837837,,,,3.498308,14.820101,8.106834,4.088322
CO000000I4,稳赢理财,HF0000014Y,南昌稳健,13,2008-01-07,1.0,PL000000HK,周卫兵,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000HK"">周卫兵</a>",15.581238,2015-08-17,-0.008249,0.751117,,-0.010262,2.235777,2.417163,3.258449,0.246903,14.581238,0.43637,0.273394
CO0000006T,赤子之心,HF000000DH,赤子之心价值投资,14,2003-01-16,100.0,PL000000ES,赵丹阳,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000ES"">赵丹阳</a>",264.17,2015-06-30,-0.109849,0.578454,0.610007,0.0409,1.130231,0.632392,0.688743,0.126044,13.893878,0.242998,0.126044
CO000001FX,宁波懿瑞资产,HF00000937,懿鸣瑞投2号,15,2014-06-27,1.0,PL000003GM,胡建达,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003GM"">胡建达</a>",14.593678,2015-03-13,0.162383,,,0.542568,,,,5.134014,13.593678,34.663148,0.542568
CO00000094,大通证券,HF00000AKB,大通通达2号C类,16,2013-03-15,1.0,"PL000001G0,PL000002QQ","幸莉,陈斯觅","<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000001G0"">幸莉</a>, <a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002QQ"">陈斯觅</a>",13.384,2014-09-03,,,,,,,,,11.6904,5.010682,
CO000003XE,孚雅投资,HF00000CC9,simplyfu,17,2014-05-27,1.0,PL000005KF,孙孚,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000005KF"">孙孚</a>",11.800098,2015-01-19,-0.271601,,,1.763306,,,,5.038942,10.800098,39.534836,-0.271601
CO000001IX,莲华投资,HF000009YW,中信建投小象计划,18,2012-07-10,1.0,PL000003PC,详和,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003PC"">详和</a>",11.638979,2014-12-19,-0.127674,6.333788,15.299858,-0.100178,,,,0.687566,10.638979,1.761012,6.333788
,,HF00000CFW,好运来钦德一号,19,2014-04-28,1.0,PL000005LP,曾学钦,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000005LP"">曾学钦</a>",11.5135,2015-05-29,1.362519,8.323427,,,,,,2.691171,10.5135,8.540608,
CO0000001Y,泽熙投资,HF0000001U,华润信托-泽熙4期,20,2010-07-07,100.0,PL0000004E,徐翔,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000004E"">徐翔</a>",258.6,2015-08-14,0.052332,2.568502,6.203281,0.669249,7.376769,7.379229,9.572643,1.811786,10.409997,0.614324,2.01997
CO000000BP,渤海证券,HF00000DF8,渤海分级汇鑫1号B,21,2014-12-22,1.0,PL000000ZM,王智勇,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000ZM"">王智勇</a>",1.2203,2015-07-31,0.954669,,,1.862069,,,,4.295037,9.309342,53.571682,7.482263
